,v1,v2,latitude,longitude,degradation_state
0,17-003271,03-4-04220,-10.052,-99.315,
1,17-005729,03-4-04282,-10.213,-99.16,
2,17-005448,03-4-04280,-10.574,-99.158,
3,17-001052,03-1-03466,-10.615,-99.907,
4,17-004009,03-4-04286,-10.804,-99.916,
5,17-001403,03-1-03464,-10.854,-99.079,
6,17-000675,03-1-03465,-10.89,-99.726,4
7,17-003271,03-4-04220,-10.052,-99.315,
8,17-005729,03-4-04282,-10.213,-99.16,
9,17-005448,03-4-04280,-10.574,-99.158,
10,17-001052,03-1-03466,-10.615,-99.907,
11,17-004009,03-4-04286,-10.804,-99.916,
12,17-001403,03-1-03464,-10.854,-99.079,
13,17-000675,03-1-03465,-10.89,-99.726,4
14,17-003271,03-4-04220,-10.052,-99.315,
15,17-005729,03-4-04282,-10.213,-99.16,
16,17-005448,03-4-04280,-10.574,-99.158,
17,17-001052,03-1-03466,-10.615,-99.907,
18,17-004009,03-4-04286,-10.804,-99.916,
19,17-001403,03-1-03464,-10.854,-99.079,
20,17-000675,03-1-03465,-10.89,-99.726,4
21,17-003271,03-4-04220,-10.052,-99.315,
22,17-005729,03-4-04282,-10.213,-99.16,
23,17-005448,03-4-04280,-10.574,-99.158,
24,17-001052,03-1-03466,-10.615,-99.907,
25,17-004009,03-4-04286,-10.804,-99.916,
26,17-001403,03-1-03464,-10.854,-99.079,
27,17-000675,03-1-03465,-10.89,-99.726,4
28,17-005669,03-4-04191,-10.013,-103.649,
29,17-001318,03-1-03484,-10.071,-103.707,
30,17-003763,03-1-03483,-10.08,-103.575,
31,17-004351,03-4-04323,-10.232,-103.53,
32,17-001998,03-4-04324,-10.401,-103.501,
33,17-004897,03-1-03480,-10.438,-103.162,
34,17-001535,03-1-03479,-10.446,-103.233,
35,17-000028,03-1-03481,-10.697,-103.412,4
36,17-002437,03-1-03485,-10.826,-103.823,
37,17-005669,03-4-04191,-10.013,-103.649,
38,17-001318,03-1-03484,-10.071,-103.707,
39,17-003763,03-1-03483,-10.08,-103.575,
40,17-004351,03-4-04323,-10.232,-103.53,
41,17-001998,03-4-04324,-10.401,-103.501,
42,17-004897,03-1-03480,-10.438,-103.162,
43,17-001535,03-1-03479,-10.446,-103.233,
44,17-000028,03-1-03481,-10.697,-103.412,4
45,17-002437,03-1-03485,-10.826,-103.823,
46,17-005669,03-4-04191,-10.013,-103.649,
47,17-001318,03-1-03484,-10.071,-103.707,
48,17-003763,03-1-03483,-10.08,-103.575,
49,17-004351,03-4-04323,-10.232,-103.53,
50,17-001998,03-4-04324,-10.401,-103.501,
51,17-004897,03-1-03480,-10.438,-103.162,
52,17-001535,03-1-03479,-10.446,-103.233,
53,17-000028,03-1-03481,-10.697,-103.412,4
54,17-002437,03-1-03485,-10.826,-103.823,
55,17-005669,03-4-04191,-10.013,-103.649,
56,17-001318,03-1-03484,-10.071,-103.707,
57,17-003763,03-1-03483,-10.08,-103.575,
58,17-004351,03-4-04323,-10.232,-103.53,
59,17-001998,03-4-04324,-10.401,-103.501,
60,17-004897,03-1-03480,-10.438,-103.162,
61,17-001535,03-1-03479,-10.446,-103.233,
62,17-000028,03-1-03481,-10.697,-103.412,4
63,17-002437,03-1-03485,-10.826,-103.823,
64,17-003242,03-1-03495,-10.239,-107.893,
65,17-000615,03-1-03494,-10.474,-107.161,4
66,17-001166,03-1-03496,-10.679,-107.994,
67,17-003242,03-1-03495,-10.239,-107.893,
68,17-000615,03-1-03494,-10.474,-107.161,4
69,17-001166,03-1-03496,-10.679,-107.994,
70,17-003242,03-1-03495,-10.239,-107.893,
71,17-000615,03-1-03494,-10.474,-107.161,4
72,17-001166,03-1-03496,-10.679,-107.994,
73,17-003242,03-1-03495,-10.239,-107.893,
74,17-000615,03-1-03494,-10.474,-107.161,4
75,17-001166,03-1-03496,-10.679,-107.994,
76,17-005624,03-4-04162,-10.001,-109.857,
77,17-000350,03-1-03390,-10.006,-109.376,3
78,17-001616,03-1-03515,-10.25,-109.969,
79,17-001399,03-1-03504,-10.496,-109.121,
80,17-001472,03-1-03507,-10.501,-109.239,
81,17-001045,03-1-03506,-10.559,-109.149,
82,17-003953,03-1-03505,-10.603,-109.152,
83,17-005624,03-4-04162,-10.001,-109.857,
84,17-000350,03-1-03390,-10.006,-109.376,3
85,17-001616,03-1-03515,-10.25,-109.969,
86,17-001399,03-1-03504,-10.496,-109.121,
87,17-001472,03-1-03507,-10.501,-109.239,
88,17-001045,03-1-03506,-10.559,-109.149,
89,17-003953,03-1-03505,-10.603,-109.152,
90,17-005624,03-4-04162,-10.001,-109.857,
91,17-000350,03-1-03390,-10.006,-109.376,3
92,17-001616,03-1-03515,-10.25,-109.969,
93,17-001399,03-1-03504,-10.496,-109.121,
94,17-001472,03-1-03507,-10.501,-109.239,
95,17-001045,03-1-03506,-10.559,-109.149,
96,17-003953,03-1-03505,-10.603,-109.152,
97,17-005624,03-4-04162,-10.001,-109.857,
98,17-000350,03-1-03390,-10.006,-109.376,3
99,17-001616,03-1-03515,-10.25,-109.969,
100,17-001399,03-1-03504,-10.496,-109.121,
101,17-001472,03-1-03507,-10.501,-109.239,
102,17-001045,03-1-03506,-10.559,-109.149,
103,17-003953,03-1-03505,-10.603,-109.152,
104,17-000468,03-1-03513,-10.255,-110.801,4
105,17-002956,03-1-03511,-10.344,-110.306,
106,17-001889,03-1-03510,-10.439,-110.137,
107,17-000223,03-1-03514,-10.661,-110.192,3
108,17-000354,03-1-03517,-10.779,-110.819,3
109,17-001929,03-1-03512,-10.785,-110.738,
110,17-002108,03-1-03518,-10.962,-110.473,
111,17-000468,03-1-03513,-10.255,-110.801,4
112,17-002956,03-1-03511,-10.344,-110.306,
113,17-001889,03-1-03510,-10.439,-110.137,
114,17-000223,03-1-03514,-10.661,-110.192,3
115,17-000354,03-1-03517,-10.779,-110.819,3
116,17-001929,03-1-03512,-10.785,-110.738,
117,17-002108,03-1-03518,-10.962,-110.473,
118,17-000468,03-1-03513,-10.255,-110.801,4
119,17-002956,03-1-03511,-10.344,-110.306,
